dname_drug1,chembl_id_drug1,dname_drug2,chembl_id_drug2,cell_line_name,NCI_thesaurus_code,disease_cui
raloxifene,CHEMBL81,Vandetanib,CHEMBL24828,HT29,C4349,C0338106
Dasatinib,CHEMBL1421,allopurinol,CHEMBL1467,MCF7,C4194,C1134719
raloxifene,CHEMBL81,busulfan,CHEMBL820,MCF7,C4194,C1134719
Nilotinib,CHEMBL255863,allopurinol,CHEMBL1467,HT29,C4349,C0338106
ifosfamide,CHEMBL1024,Ixabepilone,CHEMBL1201752,MCF7,C4194,C1134719
anastrozole,CHEMBL1399,thalidomide,CHEMBL468,MCF7,C4194,C1134719
Imatinib,CHEMBL941,ifosfamide,CHEMBL1024,HT29,C4349,C0338106
Dasatinib,CHEMBL1421,Ixabepilone,CHEMBL1201752,MCF7,C4194,C1134719
Imatinib,CHEMBL941,6-Mercaptopurine,CHEMBL1425,MCF7,C4194,C1134719
celecoxib,CHEMBL118,Romidepsin,CHEMBL343448,MCF7,C4194,C1134719
celecoxib,CHEMBL118,temozolomide,CHEMBL810,MCF7,C4194,C1134719
Imatinib,CHEMBL941,7-Ethyl-10-hydroxycamptothecin,CHEMBL837,HT29,C4349,C0338106
anastrozole,CHEMBL1399,ifosfamide,CHEMBL1024,HT29,C4349,C0338106
raloxifene,CHEMBL81,Nilotinib,CHEMBL255863,HT29,C4349,C0338106
thalidomide,CHEMBL468,methoxsalen,CHEMBL416,MCF7,C4194,C1134719
Imatinib,CHEMBL941,Bortezomib,CHEMBL325041,HT29,C4349,C0338106
Gefitinib,CHEMBL939,Dasatinib,CHEMBL1421,HT29,C4349,C0338106
7-Ethyl-10-hydroxycamptothecin,CHEMBL837,6-Mercaptopurine,CHEMBL1425,MCF7,C4194,C1134719
letrozole,CHEMBL1444,Ixabepilone,CHEMBL1201752,MCF7,C4194,C1134719
Nilotinib,CHEMBL255863,Romidepsin,CHEMBL343448,MCF7,C4194,C1134719
Imatinib,CHEMBL941,Romidepsin,CHEMBL343448,MCF7,C4194,C1134719
7-Ethyl-10-hydroxycamptothecin,CHEMBL837,busulfan,CHEMBL820,MCF7,C4194,C1134719
Sunitinib,CHEMBL535,Ixabepilone,CHEMBL1201752,MCF7,C4194,C1134719
Lapatinib,CHEMBL554,Sorafenib,CHEMBL1336,HT29,C4349,C0338106
Vorinostat,CHEMBL98,IMIQUIMOD,CHEMBL1282,MCF7,C4194,C1134719
altretamine,CHEMBL1455,Dasatinib,CHEMBL1421,MCF7,C4194,C1134719
Imatinib,CHEMBL941,Bortezomib,CHEMBL325041,MCF7,C4194,C1134719
Pralatrexate,CHEMBL1201746,ifosfamide,CHEMBL1024,MCF7,C4194,C1134719
letrozole,CHEMBL1444,7-Ethyl-10-hydroxycamptothecin,CHEMBL837,HT29,C4349,C0338106
Dasatinib,CHEMBL1421,busulfan,CHEMBL820,HT29,C4349,C0338106
allopurinol,CHEMBL1467,Bortezomib,CHEMBL325041,HT29,C4349,C0338106
Vorinostat,CHEMBL98,6-Mercaptopurine,CHEMBL1425,MCF7,C4194,C1134719
Vorinostat,CHEMBL98,anastrozole,CHEMBL1399,MCF7,C4194,C1134719
7-Ethyl-10-hydroxycamptothecin,CHEMBL837,6-Mercaptopurine,CHEMBL1425,HT29,C4349,C0338106
Romidepsin,CHEMBL343448,allopurinol,CHEMBL1467,HT29,C4349,C0338106
anastrozole,CHEMBL1399,Nilotinib,CHEMBL255863,HT29,C4349,C0338106
raloxifene,CHEMBL81,Pralatrexate,CHEMBL1201746,MCF7,C4194,C1134719
Romidepsin,CHEMBL343448,ifosfamide,CHEMBL1024,MCF7,C4194,C1134719
6-Mercaptopurine,CHEMBL1425,thalidomide,CHEMBL468,HT29,C4349,C0338106
temozolomide,CHEMBL810,Nilotinib,CHEMBL255863,HT29,C4349,C0338106
Sunitinib,CHEMBL535,6-Mercaptopurine,CHEMBL1425,HT29,C4349,C0338106
raloxifene,CHEMBL81,5-Fluorouracil,CHEMBL185,MCF7,C4194,C1134719
Nilotinib,CHEMBL255863,IMIQUIMOD,CHEMBL1282,MCF7,C4194,C1134719
Vorinostat,CHEMBL98,Sunitinib,CHEMBL535,MCF7,C4194,C1134719
allopurinol,CHEMBL1467,IMIQUIMOD,CHEMBL1282,MCF7,C4194,C1134719
busulfan,CHEMBL820,thalidomide,CHEMBL468,MCF7,C4194,C1134719
celecoxib,CHEMBL118,Vorinostat,CHEMBL98,HT29,C4349,C0338106
Nilotinib,CHEMBL255863,Bortezomib,CHEMBL325041,HT29,C4349,C0338106
celecoxib,CHEMBL118,Vorinostat,CHEMBL98,MCF7,C4194,C1134719
Lenalidomide,CHEMBL848,Dasatinib,CHEMBL1421,HT29,C4349,C0338106
letrozole,CHEMBL1444,thalidomide,CHEMBL468,MCF7,C4194,C1134719
letrozole,CHEMBL1444,Sunitinib,CHEMBL535,MCF7,C4194,C1134719
letrozole,CHEMBL1444,celecoxib,CHEMBL118,HT29,C4349,C0338106
